:START_ID,weight:float,key:int,:END_ID,:TYPE
"Spanish Shrimp  Carriers",0.9001396298408508,0,"12744",ownership
"Spanish Shrimp  Carriers",0.8458973169326782,0,"21323516",partnership
"Spanish Shrimp  Carriers",0.964876115322113,0,"290834957",partnership
"Spanish Shrimp  Carriers",0.9642125964164734,0,"3506021",ownership
"Spanish Shrimp  Carriers",0.8234858512878418,0,"Conventionâ",family_relationship
"Spanish Shrimp  Carriers",0.8931522965431213,0,"2262",family_relationship
"Spanish Shrimp  Carriers",0.839306116104126,0,"Ashley Davis",family_relationship
"Spanish Shrimp  Carriers",0.8850807547569275,0,"924",family_relationship
"Spanish Shrimp  Carriers",0.8865156173706055,0,"95",family_relationship
"Spanish Shrimp  Carriers",0.898687481880188,0,"Ancla Azul Company Solutions",membership
"Spanish Shrimp  Carriers",0.8783440589904785,0,"185106",partnership
"Spanish Shrimp  Carriers",0.9664977788925171,0,"Stephanie Garner",family_relationship
"Spanish Shrimp  Carriers",0.9549188613891602,0,"âpair",membership
"Spanish Shrimp  Carriers",0.9065979719161987,0,"Guessl",ownership
"Spanish Shrimp  Carriers",0.8503740429878235,0,"Federated",ownership
"Spanish Shrimp  Carriers",0.8211688995361328,0,"94760735",family_relationship
"Spanish Shrimp  Carriers",0.8427169322967529,0,"Act",membership
"Spanish Shrimp  Carriers",0.9127418398857117,0,"83",family_relationship
"Spanish Shrimp  Carriers",0.8865423202514648,0,"imo",ownership
"Spanish Shrimp  Carriers",0.9245785474777222,0,"Torremolinos",partnership
"Spanish Shrimp  Carriers",0.9170068502426147,0,"International-Convention",ownership
"Spanish Shrimp  Carriers",0.8683885931968689,0,"logo",membership
"Spanish Shrimp  Carriers",0.8560698628425598,0,"551",membership
"Spanish Shrimp  Carriers",0.9241090416908264,0,"Dana Goodwin",membership
"Spanish Shrimp  Carriers",0.8302770853042603,0,"Misty Thomas",membership
"Spanish Shrimp  Carriers",0.8621031045913696,0,"Turkish Sword Buoy Incorporated Forwading",membership
"Spanish Shrimp  Carriers",0.8461635112762451,0,"314",partnership
"Spanish Shrimp  Carriers",0.8549085259437561,0,"56",partnership
"Spanish Shrimp  Carriers",0.8614180684089661,0,"2983",membership
"Spanish Shrimp  Carriers",0.8872652053833008,0,"FinestSea Ltd. Corporation Enterprises",family_relationship
"Spanish Shrimp  Carriers",0.8978658318519592,0,"653",membership
"Spanish Shrimp  Carriers",0.8220973014831543,0,"Icelandic Shrimp Corporation Transport",membership
"Spanish Shrimp  Carriers",0.843220591545105,0,"1094345",membership
"Spanish Shrimp  Carriers",0.8699905276298523,0,"7691",membership
"Spanish Shrimp  Carriers",0.8645580410957336,0,"341",membership
"Spanish Shrimp  Carriers",0.8022921681404114,0,"Lake Mweru A/S Carriers",membership
"Spanish Shrimp  Carriers",0.8711761832237244,0,"Playa de la Felicidad Oyj Cargo",partnership
"Spanish Shrimp  Carriers",0.887945830821991,0,"77b46bc7-7e31-41a0-973c-e633011d21b0",membership
"Spanish Shrimp  Carriers",0.8996007442474365,0,"âencounteredâ",membership
"Spanish Shrimp  Carriers",0.8938500285148621,0,"f7a4114d-d1ca-44df-a7e0-c72e440671ba",family_relationship
"Spanish Shrimp  Carriers",0.89773029088974,0,"39",membership
"Spanish Shrimp  Carriers",0.8534549474716187,0,"3433",partnership
"Spanish Shrimp  Carriers",0.9546740055084229,0,"Kara Sullivan",family_relationship
"Spanish Shrimp  Carriers",0.9264290928840637,0,"52093e45-b873-4300-9612-8dfc291b1339",partnership
"Spanish Shrimp  Carriers",0.9294543266296387,0,"200640636",partnership
"Spanish Shrimp  Carriers",0.9016444683074951,0,"300668979",partnership
"Spanish Shrimp  Carriers",0.9337086081504822,0,"Stacey Ortega",partnership
"Spanish Shrimp  Carriers",0.9372580647468567,0,"285351",family_relationship
"Spanish Shrimp  Carriers",0.8565596342086792,0,"allAfrica",membership
"Spanish Shrimp  Carriers",0.964975118637085,0,"l y S.A. de C.V. International",membership
"Spanish Shrimp  Carriers",0.9384680986404419,0,"b28d568f-09b4-41bd-b04d-4cf255f1adc6",membership
"Spanish Shrimp  Carriers",0.8305823802947998,0,"122245",ownership
"Spanish Shrimp  Carriers",0.8497421741485596,0,"341411",family_relationship
"Spanish Shrimp  Carriers",0.8640143275260925,0,"Playa del Cielo Kga",membership
"Spanish Shrimp  Carriers",0.8408452868461609,0,"160",ownership
"Spanish Shrimp  Carriers",0.8069672584533691,0,"903311212",ownership
"Spanish Shrimp  Carriers",0.8824577331542969,0,"SeaSpray Wave SRL Solutions",membership
"Spanish Shrimp  Carriers",0.882225513458252,0,"png xi  Line",membership
"Spanish Shrimp  Carriers",0.9164833426475525,0,"Mar del Oeste Pic",membership
"Spanish Shrimp  Carriers",0.8070167899131775,0,"Ocean Fisheries Llc",ownership
"Spanish Shrimp  Carriers",0.8007424473762512,1,"Ocean Fisheries Llc",family_relationship
"12744",0.9170106649398804,0,"Spanish Shrimp  Carriers",ownership
"12744",0.9258136749267578,0,"255â273",partnership
"12744",0.9037044644355774,0,"858",membership
"143129355",0.9216804504394531,0,"Spanish Shrimp  Carriers",ownership
"143129355",0.8114389777183533,0,"pilot",membership
"143129355",0.8508702516555786,0,"9699687",membership
"143129355",0.892791748046875,0,"Melinda Bentley",membership
"7775",0.9460538029670715,0,"Sean Vasquez",family_relationship
"7775",0.8523038625717163,0,"196159",family_relationship
"7775",0.958818256855011,0,"755",family_relationship
"7775",0.882799506187439,0,"Ancla del Mar Ltd. Corporation",family_relationship
"7775",0.9121284484863281,0,"95",family_relationship
"7775",0.9379069805145264,0,"185040354",family_relationship
"1017141",0.8675354719161987,0,"2591586",membership
"1017141",0.8800430297851562,0,"185040354",membership
"1017141",0.9019525647163391,0,"0",partnership
"2591586",0.8988970518112183,0,"185040354",family_relationship
"2591586",0.9113864898681641,0,"0",partnership
"2591586",0.8243702054023743,0,"49",ownership
"2591586",0.8849112391471863,0,"71352",family_relationship
"2591586",0.8380730748176575,0,"60806",ownership
"2591586",0.8130385875701904,0,"SeaSpray Wave SRL Solutions",membership
"2591586",0.8093445897102356,0,"png xi  Line",partnership
"185040354",0.8574063181877136,0,"4",partnership
"185040354",0.908239483833313,0,"77b46bc7-7e31-41a0-973c-e633011d21b0",partnership
"185040354",0.9027907252311707,0,"7",partnership
"185040354",0.9023106694221497,0,"35",ownership
"185040354",0.9120526909828186,0,"Faroe Islands Shrimp Shark",partnership
"185040354",0.9322683215141296,0,"6406040",partnership
"185040354",0.9499722123146057,0,"290834957",family_relationship
"185040354",0.8384497165679932,0,"Jamie Knox",partnership
"185040354",0.8960208296775818,0,"0",partnership
"185040354",0.841342568397522,0,"3506021",ownership
"185040354",0.8085646629333496,0,"664738735",ownership
"185040354",0.9200608730316162,0,"2262",ownership
"185040354",0.8966370224952698,0,"5848",ownership
"185040354",0.8272117376327515,0,"505943",ownership
"185040354",0.8559051156044006,0,"Jerry Welch",partnership
"185040354",0.8503331542015076,0,"23774",partnership
"185040354",0.8193742632865906,0,"854",partnership
"185040354",0.957922101020813,0,"903311212",membership
"185040354",0.9049128293991089,0,"Mar del Oeste Pic",membership
"Faroe Islands Shrimp Shark",0.8809128403663635,0,"2591586",partnership
"Faroe Islands Shrimp Shark",0.8968217372894287,0,"185040354",membership
"Faroe Islands Shrimp Shark",0.800460696220398,1,"185040354",family_relationship
"Faroe Islands Shrimp Shark",0.9179369211196899,0,"650512",membership
"Faroe Islands Shrimp Shark",0.9157670140266418,0,"6406040",partnership
"Faroe Islands Shrimp Shark",0.9320070743560791,0,"290834957",membership
"Faroe Islands Shrimp Shark",0.8008764386177063,0,"Ancla Azul Company Solutions",family_relationship
"Faroe Islands Shrimp Shark",0.8077389597892761,0,"245",family_relationship
"Faroe Islands Shrimp Shark",0.9212231040000916,0,"551",family_relationship
"Faroe Islands Shrimp Shark",0.8270624876022339,0,"5372",family_relationship
"Faroe Islands Shrimp Shark",0.821797251701355,0,"951093",family_relationship
"Faroe Islands Shrimp Shark",0.8467210531234741,0,"Tamil Nadu S.p.A.",family_relationship
"Faroe Islands Shrimp Shark",0.8831609487533569,0,"02cd44a1-7945-40d9-b38f-56f70976582c",family_relationship
"Faroe Islands Shrimp Shark",0.8576303720474243,0,"7950",family_relationship
"Faroe Islands Shrimp Shark",0.8471369743347168,0,"44",membership
"Faroe Islands Shrimp Shark",0.8261680603027344,0,"41",membership
"Faroe Islands Shrimp Shark",0.8370489478111267,0,"c1aeee2d-0030-4d85-b45c-ac3fd9887b98",membership
"Faroe Islands Shrimp Shark",0.9011760354042053,0,"98703",partnership
"Faroe Islands Shrimp Shark",0.9371521472930908,0,"34",partnership
"Faroe Islands Shrimp Shark",0.8141169548034668,0,"Spanish Shrimp  Carriers",partnership
"Faroe Islands Shrimp Shark",0.8968798518180847,0,"Dana Goodwin",partnership
"Faroe Islands Shrimp Shark",0.8262600898742676,0,"7691",partnership
"Faroe Islands Shrimp Shark",0.8171950578689575,0,"380",partnership
"Faroe Islands Shrimp Shark",0.8692729473114014,0,"OceanicOrigin Foods Co and Son's",ownership
"Faroe Islands Shrimp Shark",0.8349311351776123,0,"852015",ownership
"Faroe Islands Shrimp Shark",0.8668418526649475,0,"71317",ownership
"Faroe Islands Shrimp Shark",0.9012811183929443,0,"Act",membership
"Faroe Islands Shrimp Shark",0.9486176371574402,0,"l y S.A. de C.V. International",membership
"Faroe Islands Shrimp Shark",0.8125195503234863,0,"16",partnership
"Faroe Islands Shrimp Shark",0.8899808526039124,0,"âThese",partnership
"Faroe Islands Shrimp Shark",0.8212710022926331,0,"31",partnership
"Faroe Islands Shrimp Shark",0.8377495408058167,0,"3506021",partnership
"Faroe Islands Shrimp Shark",0.920997142791748,0,"Fisherman'sFriend Charter Boat S.A. de C.V. Freight ",membership
"Faroe Islands Shrimp Shark",0.8437206149101257,0,"PC",partnership
"Faroe Islands Shrimp Shark",0.845270037651062,0,"39",partnership
"Faroe Islands Shrimp Shark",0.8026027679443359,0,"7298083",partnership
"Faroe Islands Shrimp Shark",0.808696448802948,0,"FiTI",family_relationship
"Faroe Islands Shrimp Shark",0.9133763313293457,0,"48",ownership
"Faroe Islands Shrimp Shark",0.8229310512542725,0,"43685541",membership
"Faroe Islands Shrimp Shark",0.9445129632949829,0,"Marie Lee",partnership
"Faroe Islands Shrimp Shark",0.8468566536903381,0,"49",family_relationship
"Faroe Islands Shrimp Shark",0.8082730770111084,0,"449820",membership
"Faroe Islands Shrimp Shark",0.8115202188491821,0,"Victoria",family_relationship
"Faroe Islands Shrimp Shark",0.8542919754981995,0,"73166320",family_relationship
"Faroe Islands Shrimp Shark",0.8300293684005737,0,"262157542",partnership
"Faroe Islands Shrimp Shark",0.9467771053314209,0,"faf.20363",partnership
"Faroe Islands Shrimp Shark",0.8027524352073669,0,"Christopher Cunningham",family_relationship
"Faroe Islands Shrimp Shark",0.8071946501731873,1,"Christopher Cunningham",family_relationship
"Faroe Islands Shrimp Shark",0.9082715511322021,0,"589",family_relationship
"Faroe Islands Shrimp Shark",0.8224123120307922,0,"94",family_relationship
"Faroe Islands Shrimp Shark",0.9216888546943665,0,"Mr. Joseph Johnson",ownership
"Faroe Islands Shrimp Shark",0.8336212635040283,0,"720",partnership
"Faroe Islands Shrimp Shark",0.9161864519119263,0,"fdcbe098-dbe6-4e52-8bd7-96cf3ae30101",membership
"Faroe Islands Shrimp Shark",0.8831473588943481,0,"767",partnership
"Faroe Islands Shrimp Shark",0.8398376703262329,0,"Master",family_relationship
"Faroe Islands Shrimp Shark",0.893219530582428,0,"Michael Andrews",partnership
"Faroe Islands Shrimp Shark",0.9304358959197998,0,"Sarah Garcia",ownership
"Faroe Islands Shrimp Shark",0.9054943919181824,0,"Jessica James",ownership
"Faroe Islands Shrimp Shark",0.9223005175590515,0,"26794528-86a5-4b5e-802f-50c3f226c66b",ownership
"Faroe Islands Shrimp Shark",0.8002637028694153,0,"c01c6a10-60c9-4f11-9409-aa04c3963826",ownership
"Faroe Islands Shrimp Shark",0.8422154188156128,0,"57",ownership
"Faroe Islands Shrimp Shark",0.8259137868881226,0,"9550",membership
"Faroe Islands Shrimp Shark",0.8366942405700684,0,"46901627",family_relationship
"Faroe Islands Shrimp Shark",0.8761594295501709,0,"Faurtil FÃ¡brica Urnas TietÃª",ownership
"Faroe Islands Shrimp Shark",0.8191037178039551,0,"Turkish Mussels Ltd. Liability Co Marine biology",ownership
"Faroe Islands Shrimp Shark",0.8986532092094421,0,"Leslie Williams",ownership
"Faroe Islands Shrimp Shark",0.8249204754829407,0,"83951569",partnership
"Faroe Islands Shrimp Shark",0.8035667538642883,0,"577a9358-a718-4d90-a90e-88f88c58160d",membership
"Faroe Islands Shrimp Shark",0.822055459022522,0,"b120bc86-764c-4e2b-9f36-1587f91a20e3",family_relationship
"Faroe Islands Shrimp Shark",0.8200454115867615,0,"6c7a8222-efc7-41a6-809a-043b091ae04a",family_relationship
"Faroe Islands Shrimp Shark",0.8693283200263977,0,"Sarah Hays",ownership
"Faroe Islands Shrimp Shark",0.8730733394622803,0,"8541598",ownership
"Faroe Islands Shrimp Shark",0.8320456147193909,0,"6731",membership
"Faroe Islands Shrimp Shark",0.9050164222717285,0,"b8567859-bf54-49fd-8332-5775e19c65af",partnership
"Faroe Islands Shrimp Shark",0.8558467030525208,0,"979893388",partnership
"Faroe Islands Shrimp Shark",0.8614878058433533,0,"341411",family_relationship
"Faroe Islands Shrimp Shark",0.867244303226471,1,"341411",partnership
"Faroe Islands Shrimp Shark",0.8804911375045776,0,"Playa del Cielo Kga",family_relationship
"Faroe Islands Shrimp Shark",0.8554232716560364,1,"Playa del Cielo Kga",family_relationship
"Faroe Islands Shrimp Shark",0.8371416330337524,0,"png xi  Line",family_relationship
"Faroe Islands Shrimp Shark",0.8917712569236755,1,"png xi  Line",family_relationship
"Faroe Islands Shrimp Shark",0.8417909145355225,2,"png xi  Line",membership
"Faroe Islands Shrimp Shark",0.8658042550086975,3,"png xi  Line",ownership
"Faroe Islands Shrimp Shark",0.8793665170669556,0,"SeaSpray Wave SRL Solutions",ownership
"Faroe Islands Shrimp Shark",0.8853422403335571,1,"SeaSpray Wave SRL Solutions",ownership
"Faroe Islands Shrimp Shark",0.8202866911888123,2,"SeaSpray Wave SRL Solutions",family_relationship
"Faroe Islands Shrimp Shark",0.8275558352470398,0,"903311212",membership
"341411",0.8062242269515991,0,"21323516",partnership
"341411",0.8733181953430176,0,"Lisa Jimenez",membership
"341411",0.9089617729187012,0,"526269",membership
"341411",0.9534033536911011,0,"99575926",partnership
"341411",0.9426686763763428,0,"290834957",family_relationship
"341411",0.9565551280975342,0,"72371354",membership
"341411",0.8608428239822388,0,"55",ownership
"341411",0.8268651366233826,0,"766649",ownership
"341411",0.826444685459137,0,"Brian Nelson",membership
"341411",0.9071882963180542,0,"664738735",partnership
"341411",0.9090691208839417,0,"âdevil vesselsâ",ownership
"341411",0.8859699368476868,0,"1",ownership
"341411",0.8140093684196472,1,"1",partnership
"341411",0.8828207850456238,0,"8c53a730-3aa1-463f-aef6-999a3cfbfb70",membership
"341411",0.8868463039398193,0,"19",membership
"341411",0.8219814896583557,0,"47679",membership
"341411",0.9291554689407349,1,"47679",membership
"341411",0.8557958602905273,0,"Mar del Paraso SRL Shipping",membership
"341411",0.8233435750007629,0,"3506021",partnership
"341411",0.806577205657959,0,"683962",ownership
"341411",0.910338282585144,0,"Kathleen Gates",partnership
"341411",0.8244850635528564,0,"82408558",partnership
"341411",0.8219258189201355,0,"New Bedford Light",partnership
"341411",0.8893693089485168,0,"f94bcae5-b023-48f6-a0d5-ff2f01cc00ed",membership
